,num,num,num,num
degree,Doctor of Philosophy (Ph.D.),M.S. leading to Ph.D.,Master of Science (M.S.),Professional Degree
Response,,,,
1,7.0,,27.0,
2,19.0,7.0,94.0,
3,37.0,12.0,165.0,
4,115.0,43.0,561.0,
5,30.0,12.0,141.0,1.0
